,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K19172,dndE; DNA sulfur modification protein DndE
K19221,"cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
K19222,"menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"
K19225,gluP; rhomboid protease GluP [EC:3.4.21.105]
K19226,sapA; cationic peptide transport system substrate-binding protein
K19227,sapB; cationic peptide transport system permease protein
K19228,sapC; cationic peptide transport system permease protein
K19229,sapD; cationic peptide transport system ATP-binding protein
K19230,sapF; cationic peptide transport system ATP-binding protein
K19231,bmaC; fibronectin-binding autotransporter adhesin
K19234,"ynhG; L,D-transpeptidase YnhG"
K19235,"ybiS; L,D-transpeptidase YbiS"
K19236,"ycfS; L,D-transpeptidase YcfS"
K19238,pmrD; signal transduction protein PmrD
K19242,"citR; LysR family transcriptional regulator, repressor for citA"
K19265,gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
K19267,qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K19268,"glmE, mutE, mamB; methylaspartate mutase epsilon subunit [EC:5.4.99.1]"
K19270,"yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]"
K19271,catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]
K19273,sat4; streptothricin acetyltransferase [EC:2.3.-.-]
K19285,nfrA1; FMN reductase (NADPH) [EC:1.5.1.38]
K19286,nfrA2; FMN reductase [NAD(P)H] [EC:1.5.1.39]
K19294,algI; alginate O-acetyltransferase complex protein AlgI
K19299,aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]
K19302,bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
K19303,mepH; murein DD-endopeptidase [EC:3.4.-.-]
K19304,mepM; murein DD-endopeptidase [EC:3.4.24.-]
K19309,bcrA; bacitracin transport system ATP-binding protein
K19310,bcrB; bacitracin transport system permease protein
K19333,"kdgR; IclR family transcriptional regulator, KDG regulon repressor"
K19334,tabA; biofilm protein TabA
K19335,"bdcR; TetR/AcrR family transcriptional regulator, repressor for divergent bdcA"
K19336,bdcA; cyclic-di-GMP-binding biofilm dispersal mediator protein
K19337,"hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator"
K19338,"nac; LysR family transcriptional regulator, nitrogen assimilation regulatory protein"
K19350,lsa; lincosamide and streptogramin A transport system ATP-binding/permease protein
K19353,eptC; heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]
K19354,waaH; heptose III glucuronosyltransferase [EC:2.4.1.-]
K19355,"MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
K19405,mcsB; protein arginine kinase [EC:2.7.14.1]
K19411,mcsA; protein arginine kinase activator
K19416,yccA; modulator of FtsH protease
K19419,epsG; transmembrane protein EpsG
K19421,epsC; polysaccharide biosynthesis protein EpsC
K19422,epsD; glycosyltransferase EpsD [EC:2.4.-.-]
K19424,epsF; glycosyltransferase EpsF [EC:2.4.-.-]
K19425,epsH; glycosyltransferase EpsH [EC:2.4.-.-]
K19427,epsJ; glycosyltransferase EpsJ [EC:2.4.-.-]
K19428,epsL; sugar transferase EpsL [EC:2.-.-.-]
K19429,epsM; acetyltransferase EpsM [EC:2.3.1.-]
K19431,epsO; pyruvyl transferase EpsO [EC:2.-.-.-]
K19504,gfrE; glucoselysine-6-phosphate deglycase
K19505,"gfrR; sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator"
K19506,"PTS-Gfr-EIIA, gfrA; PTS system, fructoselysine/glucoselysine-specific IIA component [EC:2.7.1.-]"
K19507,"PTS-Gfr-EIIB, gfrB; PTS system, fructoselysine/glucoselysine-specific IIB component [EC:2.7.1.-]"
K19508,"PTS-Gfr-EIIC, gfrC; PTS system, fructoselysine/glucoselysine-specific IIC component"
K19509,"PTS-Gfr-EIID, gfrD; PTS system, fructoselysine/glucoselysine-specific IID component"
K19510,gfrF; fructoselysine-6-phosphate deglycase
K19540,frlA; fructoselysine transporter
K19545,"lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E"
K19577,"ydhP; MFS transporter, DHA1 family, inner membrane transport protein"
K19591,"cueR; MerR family transcriptional regulator, copper efflux regulator"
K19611,"fepA, pfeA, iroN, pirA; ferric enterobactin receptor"
K19688,bssR; biofilm regulator BssR
K19689,"ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]"
K19701,ywaD; aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10]
K19709,ydiF; acetate CoA-transferase [EC:2.8.3.8]
K19710,E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53]
K19714,kdnB; 3-deoxy-alpha-D-manno-octulosonate 8-oxidase [EC:1.1.3.48]
K19745,acuI; acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
K19775,"exuR; GntR family transcriptional regulator, hexuronate regulon transcriptional repressor"
K19776,"dgoR; GntR family transcriptional regulator, galactonate operon transcriptional repressor"
K19777,hdeA; acid stress chaperone HdeA
K19778,hdeB; acid stress chaperone HdeB
K19784,"chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)"
K19789,radD; DNA repair protein RadD
K19802,"ycjG, ykfB; L-Ala-D/L-Glu epimerase [EC:5.1.1.20]"
K19803,lpxT; Kdo2-lipid A phosphotransferase [EC:2.7.4.29]
K19804,lapB; lipopolysaccharide assembly protein B
K19810,"epmB; L-lysine 2,3-aminomutase [EC:5.4.3.-]"
K19883,aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]
K19954,adh1; alcohol dehydrogenase [EC:1.1.1.-]
K19955,adh2; alcohol dehydrogenase [EC:1.1.1.-]
K19956,sorE; L-sorbose 1-phosphate reductase [EC:1.1.1.-]
K19971,"psaA, scaA; manganese/zinc transport system substrate-binding protein"
K19972,"psaC, scaB; manganese/zinc transport system permease protein"
K19997,gnu; GlcNAc-P-P-Und epimerase [EC:5.1.3.26]
K20037,cutD; choline trimethylamine-lyase activating enzyme [EC:1.97.1.-]
K20038,cutC; choline trimethylamine-lyase [EC:4.3.99.4]
K20073,"mapZ, locZ; mid-cell-anchored protein Z"
K20074,"prpC, phpP; PPM family protein phosphatase [EC:3.1.3.16]"
K20112,"PTS-Gal-EIIA; PTS system, galactose-specific IIA component [EC:2.7.1.204]"
K20113,"PTS-Gal-EIIB; PTS system, galactose-specific IIB component [EC:2.7.1.204]"
K20114,"PTS-Gal-EIIC; PTS system, galactose-specific IIC component"
K20143,acrC; acrylyl-CoA reductase (NADH) [EC:1.3.1.95]
K20257,pqsE; 2-aminobenzoylacetyl-CoA thioesterase [EC:3.1.2.32]
K20265,gadC; glutamate:GABA antiporter
K20276,bapA; large repetitive protein
K20341,"blpL, cipI; immunity protein"
K20342,"comR; HTH-type transcriptional regulator, regulator for ComX"
K20344,"blpA, lagD; ATP-binding cassette, subfamily C, bacteriocin exporter"
K20345,"blpB; membrane fusion protein, peptide pheromone/bacteriocin exporter"
K20373,"rgg2; HTH-type transcriptional regulator, SHP2-responsive activator"
K20415,madH; ACP-SH:acetate ligase [EC:6.2.1.35]
K20444,rfbC; O-antigen biosynthesis protein [EC:2.4.1.-]
K20450,mgm; 2-methyleneglutarate mutase [EC:5.4.99.4]
K20452,dmdA; dimethylmaleate hydratase large subunit [EC:4.2.1.85]
K20459,"nukF, mcdF, sboF; lantibiotic transport system ATP-binding protein"
K20460,"nukE, mcdE, sboE; lantibiotic transport system permease protein"
K20461,"nukG, mcdG, sboG; lantibiotic transport system permease protein"
K20480,"nprR, nprA; HTH-type transcriptional regulator, quorum sensing regulator NprR"
K20483,"nisB, spaB, epiB; lantibiotic biosynthesis protein"
K20484,"nisC, spaC, epiC; lantibiotic biosynthesis protein"
K20487,"nisK, spaK; two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]"
K20488,"nisR, spaR; two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR"
K20489,nisI; lantibiotic immunity protein
K20490,"nisF, spaF, cprA, epiF; lantibiotic transport system ATP-binding protein"
K20491,"nisE, spaE, cprB, epiE; lantibiotic transport system permease protein"
K20492,"nisG, spaG, cprC; lantibiotic transport system permease protein"
K20509,"madB, oadB, gcdB, mmdB; carboxybiotin decarboxylase [EC:7.2.4.1]"
K20510,madC; malonyl-S-ACP:biotin-protein carboxyltransferase subunit MadC [EC:2.1.3.10]
K20511,madD; malonyl-S-ACP:biotin-protein carboxyltransferase subunit MadD [EC:2.1.3.10]
K20530,trbE; type IV secretion system protein TrbE [EC:7.4.2.8]
K20534,"gtrB, csbB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]"
K20541,bcsB; cellulose synthase operon protein B
K20542,bcsZ; endoglucanase [EC:3.2.1.4]
K20543,bcsC; cellulose synthase operon protein C
K20626,lcdA; lactoyl-CoA dehydratase subunit alpha [EC:4.2.1.54]
K20627,lcdB; lactoyl-CoA dehydratase subunit beta [EC:4.2.1.54]
K20814,dop; Pup amidohydrolase [EC:3.5.1.119]
K20859,"phnPP; phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase [EC:3.1.4.57]"
K20861,ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
K20862,yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
K20866,yihX; glucose-1-phosphatase [EC:3.1.3.10]
K20881,yrfG; 5'-nucleotidase [EC:3.1.3.5]
K20885,"K20885; beta-1,2-mannobiose phosphorylase / 1,2-beta-oligomannan phosphorylase [EC:2.4.1.339 2.4.1.340]"
K20903,hgdA; (R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha [EC:4.2.1.167]
K20904,hgdB; (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]
K20938,ladA; long-chain alkane monooxygenase [EC:1.14.14.28]
K20974,"K20974; two-component system, sensor histidine kinase [EC:2.7.13.3]"
K20976,hptB; histidine phosphotransfer protein HptB
K21011,pelF; polysaccharide biosynthesis protein PelF
K21012,pelG; polysaccharide biosynthesis protein PelG
K21021,tpbB; diguanylate cyclase [EC:2.7.7.65]
K21023,mucR; diguanylate cyclase [EC:2.7.7.65]
K21028,ynjE; molybdopterin synthase sulfurtransferase [EC:2.8.1.11]
K21029,moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]
K21030,tarI; D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]
K21055,E3.1.3.103; 3-deoxy-D-glycero-D-galacto-nononate 9-phosphatase [EC:3.1.3.103]
K21063,K21063; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
K21064,"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"
K21065,"E3.2.1.197; beta-1,2-mannosidase [EC:3.2.1.197]"
K21071,"pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
K21084,yegE; diguanylate cyclase [EC:2.7.7.65]
K21085,yedQ; diguanylate cyclase [EC:2.7.7.65]
K21086,yhjH; c-di-GMP phosphodiesterase [EC:3.1.4.52]
K21087,ycgR; flagellar brake protein
K21088,ydaM; diguanylate cyclase [EC:2.7.7.65]
K21089,"mlrA; MerR family transcriptional regulator, activator of the csg genes"
K21090,adrB; c-di-GMP phosphodiesterase [EC:3.1.4.52]
K21132,"K21132; alpha-mannan endo-1,2-alpha-mannanase / glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.198 3.2.1.130]"
K21140,mec; [CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]
K21147,"moeZR, moeBR; sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]"
K21279,E2.5.1.132; 3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase [EC:2.5.1.132]
K21344,rfaE1; D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]
K21345,rfaE2; D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]
K21393,yiaN; TRAP-type transport system large permease protein
K21394,yiaM; TRAP-type transport system small permease protein
K21395,yiaO; TRAP-type transport system periplasmic protein
K21397,K21397; ABC transport system ATP-binding/permease protein
K21399,ortA; 2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263]
K21400,ortB; 2-amino-4-ketopentanoate thiolase beta subunit [EC:2.3.1.263]
K21405,"acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR"
K21416,"acoA; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]"
K21417,"acoB; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]"
K21430,yliI; aldose sugar dehydrogenase [EC:1.1.5.-]
K21440,ANKRD50; ankyrin repeat domain-containing protein 50
K21449,"ata, sadA, emaA; trimeric autotransporter adhesin"
K21463,tcaA; membrane-associated protein TcaA
K21464,pbpG; penicillin-binding protein 2D [EC:2.4.1.129 3.4.16.4]
K21465,pbpA; penicillin-binding protein A
K21467,pbpC; penicillin-binding protein 3
K21469,pbp4b; serine-type D-Ala-D-Ala carboxypeptidase [EC:3.4.16.4]
K21470,"ycbB; L,D-transpeptidase YcbB"
K21471,cwlO; peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]
K21472,lytH; peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]
K21473,ripA; peptidoglycan DL-endopeptidase RipA [EC:3.4.-.-]
K21495,fitA; antitoxin FitA
K21498,higA-1; antitoxin HigA-1
K21511,GPC; capsid assembly protease [EC:3.4.21.-]
K21512,"gpA; terminase, large subunit [EC:3.1.21.4]"
K21556,"malR; CRP/FNR family transcriptional regulator, polysaccharide utilization system transcription regulator"
K21557,"susR; HTH-type transcriptional regulator, polysaccharide utilization system transcription regulator"
K21562,"flp; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
K21563,"dnr; CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator"
K21567,fnr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K21571,susE_F; starch-binding outer membrane protein SusE/F
K21572,"susD; starch-binding outer membrane protein, SusD/RagB family"
K21573,susC; TonB-dependent starch-binding outer membrane protein SusC
K21574,"susB; glucan 1,4-alpha-glucosidase [EC:3.2.1.3]"
K21575,susA; neopullulanase [EC:3.2.1.135]
K21576,grdD; glycine/sarcosine/betaine reductase complex component C subunit alpha [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K21577,grdC; glycine/sarcosine/betaine reductase complex component C subunit beta [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K21578,grdI; betaine reductase complex component B subunit alpha [EC:1.21.4.4]
K21579,grdH; betaine reductase complex component B subunit beta [EC:1.21.4.4]
K21583,grdG; sarcosine reductase complex component B subunit alpha [EC:1.21.4.3]
K21600,"csoR, ricR; CsoR family transcriptional regulator, copper-sensing transcriptional repressor"
K21602,"yiaJ; IclR family transcriptional regulator, carbohydrate utilization repressor"
K21613,yxeP; uncharacterized hydrolase [EC:3.-.-.-]
K21619,uxaE; tagaturonate epimerase [EC:5.1.2.7]
K21636,nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K21637,iraD; anti-adapter protein IraD
K21645,"hypT, qseD; LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT"
K21672,"ord; 2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]"
K21681,bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]
K21695,aaeX; protein AaeX
K21698,"aaeR; LysR family transcriptional regulator, transcriptional activator for aaeXAB operon"
K21739,rclA; probable pyridine nucleotide-disulfide oxidoreductase
K21741,rclC; reactive chlorine resistance protein C
K21742,"ttdR; LysR family transcriptional regulator, transcriptional activator for ttdABT operon"
K21746,"rclR; AraC family transcriptional regulator, reactive chlorine species (RCS)-specific activator of rcl operon"
K21749,CMAS; N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]
K21750,E2.7.7.92; 3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.92]
K21759,bsdD; vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]
K21814,CPPED1; serine/threonine-protein phosphatase CPPED1 [EC:3.1.3.16]
K21828,"arcR; CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator"
K21885,"cmtR; ArsR family transcriptional regulator, cadmium/lead-responsive transcriptional repressor"
K21898,orr; ornithine racemase [EC:5.1.1.12]
K21900,"cysL; LysR family transcriptional regulator, transcriptional activator of the cysJI operon"
K21901,"dctR; LuxR family transcriptional regulator, dicarboxylate transport regulator"
K21903,"cadC, smtB; ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor"
K21905,"gadX; AraC family transcriptional regulator, glutamate-dependent acid resistance regulator"
K21906,"gadW; AraC family transcriptional regulator, glutamate-dependent acid resistance regulator"
K21907,"gadE; LuxR family transcriptional regulator, glutamate-dependent acid resistance regulator"
K21908,hdeD; membrane protein HdeD
K21929,udg; uracil-DNA glycosylase [EC:3.2.2.27]
K21936,chuW; anaerobilin synthase [EC:2.1.1.342]
K21947,ttuA; tRNA-5-methyluridine54 2-sulfurtransferase [EC:2.8.1.15]
K21948,otnK; 3-dehydrotetronate 4-kinase [EC:2.7.1.217]
K21961,"ethR, etaR; TetR/AcrR family transcriptional regulator, ethionamide resistance regulator"
K21963,"ecpR, matA; LuxR family transcriptional regulator, Mat/Ecp fimbriae transcriptional regulator"
K21964,"ecpA, matB; Mat/Ecp fimbriae major subunit"
K21965,"ecpB, matC; Mat/Ecp fimbriae periplasmic chaperone"
K21966,"ecpC, matD; Mat/Ecp fimbriae outer membrane usher protein"
K21967,"ecpD, matE; Mat/Ecp fimbriae adhesin"
K21968,"ecpE, matF; Mat/Ecp fimbriae periplasmic chaperone"
K21972,"bluR; MerR family transcriptional regulator, repressor of blue light- and temperature-responsive genes"
K21973,bluF; blue light- and temperature-responsive anti-repressor
K21974,ycgZ; probable RcsB/C two-component-system connector
K21975,ymgA; probable RcsB/C two-component-system connector
K21976,"ariR; probable RcsB/C two-component-system connector, global regulator of biofilm formation and acid-resistance"
K21977,coaB; phosphopantothenate---cysteine ligase (CTP) [EC:6.3.2.5]
K21990,yfdC; formate-nitrite transporter family protein
K21993,fdhC; formate transporter
K22010,"pdtaR; two-component system, response regulator PdtaR"
K22014,Nu1; terminase small subunit
K22015,fdhF; formate dehydrogenase (acceptor) [EC:1.17.99.7]
K22024,pdxA2; 4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase [EC:1.1.1.408 1.1.1.409]
K22041,"comR; TetR/AcrR family transcriptional regulator, copper-responsive repressor"
K22044,ybiO; moderate conductance mechanosensitive channel
K22051,"mscM, bspA; miniconductance mechanosensitive channel"
K22103,"glcR; DeoR family transcriptional regulator, carbon catabolite repression regulator"
K22104,"nanR; GntR family transcriptional regulator, sialic acid-inducible nan operon repressor"
K22105,"fabR; TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator"
K22110,"kdgM, kdgN, nanC, ompL; oligogalacturonate-specific porin family protein"
K22111,nanS; 9-O-acetyl-N-acetylneuraminic acid deacetylase
K22116,"capC, pgsC; gamma-polyglutamate biosynthesis protein CapC"
K22129,"dtnK, denK; D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]"
K22130,otnC; 3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
K22131,otnI; 2-dehydrotetronate isomerase [EC:5.3.1.35]
K22132,tcdA; tRNA threonylcarbamoyladenosine dehydratase
K22212,"mleA, mleS; malolactic enzyme [EC:4.1.1.101]"
K22213,PATG; 6-methylsalicylate decarboxylase [EC:4.1.1.52]
K22214,scpC; propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.-]
K22226,ahbC; Fe-coproporphyrin III synthase
K22227,ahbD; heme synthase
K22230,iolU; scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-]
K22232,iolN; 3-dehydro-scyllo-inosose hydrolase [EC:3.7.1.-]
K22278,pdgA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
